scorer,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.30,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.31,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.32,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.33,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.34,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.35,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.36,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.37,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.38,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.39,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.40,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.41,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.42,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.43,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.44,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.45,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.46,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.47,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.48,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.49,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.50,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.51,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.52,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.53,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.54,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.55,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.56,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.57,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.58,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.59
bodyparts,center,center,center,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,leftarm,leftarm,leftarm,rightarm,rightarm,rightarm,leftleg,leftleg,leftleg,rightleg,rightleg,rightleg,tail base,tail base,tail base,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,750.131,346.0,1.0,864.848,314.628,1.0,778.453,306.089,1.0,814.382,366.412,1.0,796.713,251.025,0.9980000257492065,798.509,238.187,0.22200000286102295,,,0.0,790.872,421.395,1.0,728.211,386.918,1.0,,,0.0
1,750.985,344.945,0.41100001335144043,879.33,337.104,1.0,791.844,311.957,1.0,808.11,372.042,1.0,,,0.0,796.284,426.103,0.9079999923706055,,,0.0,,,0.0,719.965,393.156,1.0,,,0.0
2,753.603,344.921,0.6819999814033508,878.592,333.909,1.0,791.935,311.748,1.0,807.956,371.95,1.0,,,0.0,795.394,422.85,0.9639999866485596,,,0.0,789.31,428.947,0.12700000405311584,720.334,393.163,1.0,,,0.0
3,764.965,344.507,0.9359999895095825,888.532,356.51,1.0,805.311,317.058,1.0,808.242,381.549,1.0,,,0.0,844.234,395.412,0.7070000171661377,,,0.0,,,0.0,713.484,397.012,1.0,,,0.0
4,765.955,346.245,0.996999979019165,882.568,365.487,1.0,805.373,320.134,1.0,810.731,373.737,1.0,,,0.0,796.459,426.737,0.9789999723434448,,,0.0,789.485,427.779,0.19499999284744263,705.786,397.464,1.0,,,0.0
5,773.721,355.266,1.0,889.762,378.343,1.0,821.696,335.323,1.0,822.953,389.192,1.0,,,0.0,796.843,427.842,0.2409999966621399,,,0.0,773.88,430.271,0.9890000224113464,698.837,397.302,1.0,,,0.0
6,773.697,355.373,1.0,889.778,378.318,1.0,822.15,335.884,1.0,822.904,389.291,1.0,,,0.0,796.827,427.803,0.22599999606609344,,,0.0,773.85,430.08,0.9869999885559082,698.194,397.725,1.0,,,0.0
7,781.347,358.464,1.0,895.638,386.361,1.0,827.075,340.384,1.0,825.681,398.583,1.0,,,0.0,,,0.0,,,0.0,765.049,443.134,0.9990000128746033,695.966,398.843,1.0,,,0.0
